503;Rowing Men's Coxed Fours;19
504;Synchronized Swimming Women's Team;20
505;Shooting Mixed Small-Bore Rifle, Prone, 50 metres;7
506;Boxing Women's Middleweight;39
507;Tennis Women's Singles, Covered Courts;16
508;Cycling Men's Madison;40
509;Art Competitions Mixed Sculpturing, Medals And Reliefs;48
510;Cycling Men's BMX;40
511;Sailing Mixed 12 foot;15
512;Shooting Men's Small-Bore Rifle, Prone, 50 metres;7
513;Cycling Women's Individual Time Trial;40
514;Shooting Women's Sporting Pistol, 25 metres;7
515;Archery Men's Target Archery, 28 metres, Team;1
516;Diving Men's Springboard;44
517;Judo Men's Half-Heavyweight;8
518;Wrestling Men's Lightweight, Greco-Roman;5
519;Gymnastics Men's Individual All-Around, 4 Events;4
520;Weightlifting Women's Super-Heavyweight;27
521;Basketball Men's Basketball;36
522;Archery Men's Pole Archery, Large Birds, Team;1
523;Sailing Mixed Two Person Keelboat;15
524;Athletics Men's 5 mile;10
525;Canoeing Men's Kayak Doubles, 1,000 metres;11
526;Wrestling Women's Light-Heavyweight, Freestyle;5
527;Athletics Men's Triple Jump;10
528;Equestrianism Men's Vaulting, Individual;24
529;Sailing Women's Skiff;15
530;Swimming Women's 4 x 200 metres Freestyle Relay;34
531;Sailing Mixed 5.5 metres;15
532;Aeronautics Mixed Aeronautics;31
533;Shooting Men's Running Target, Single Shot, Team;7
534;Swimming Women's 200 metres Backstroke;34
535;Equestrianism Men's Vaulting, Team;24
536;Shooting Men's Military Rifle, Prone, 300 metres, Team;7
537;Judo Women's Half-Middleweight;8
538;Canoeing Men's Canadian Singles, Slalom;11
539;Archery Women's Team;1
540;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;7
541;Fencing Women's epee, Team;41
542;Judo Men's Heavyweight;8
543;Swimming Men's 880 yard Freestyle;34
544;Modern Pentathlon Men's Team;29
545;Equestrianism Men's Jumping, Individual;24
546;Cycling Men's 1 mile;40
547;Swimming Women's 800 metres Freestyle;34
548;Swimming Men's 220 yard Freestyle;34
549;Cycling Men's 2 mile;40
550;Archery Men's Continental Style;1
551;Rowing Women's Coxed Eights;19
552;Athletics Women's Shot Put;10
553;Alpinism Mixed Alpinism;49
554;Archery Men's Target Archery, 50 metres, Team;1
555;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;7
556;Table Tennis Women's Doubles;12
557;Equestrianism Mixed Dressage, Individual;24
558;Athletics Women's Heptathlon;10
559;Fencing Women's Foil, Individual;41
560;Art Competitions Mixed Music, Instrumental And Chamber;48
561;Equestrianism Mixed Three-Day Event, Individual;24
562;Art Competitions Mixed Sculpturing, Medals And Plaques;48
563;Canoeing Men's Kayak Relay 4 x 500 metres;11
564;Cycling Men's Sprint;40
565;Athletics Men's 200 metres Hurdles;10
566;Wrestling Men's Light-Heavyweight, Greco-Roman;5
567;Sailing Men's One Person Heavyweight Dinghy;15
568;Shooting Men's Free Pistol, 50 yards, Team;7
569;Water Polo Women's Water Polo;25
570;Athletics Men's 50 kilometres Walk;10
571;Equestrianism Mixed Jumping, Individual;24
572;Athletics Men's 400 metres;10
573;Fencing Women's Sabre, Team;41
574;Table Tennis Women's Team;12
575;Shooting Women's Skeet;7
